id,Affiliation,Abbreviation,Affiliation En Name,Type,University,City
152,Faculté des Lettres et des Sciences Humaines Sais,FLSH Sais ,Faculty of Letters and Humanities Sais,Faculté,Université Sidi Mohamed Ben Abdellah,Fès
153,Faculté des Sciences Dhar El Mahraz,FS Dhar El Mahraz ,Faculty of Sciences Dhar El Mahraz,Faculté,Université Sidi Mohamed Ben Abdellah,Fès
154,Faculté Polydisciplinaire,FP ,Polydisciplinary Faculty,Faculté,Université Sidi Mohamed Ben Abdellah,Taza
155,Faculté des Sciences et Techniques Sais,FST Sais ,Faculty of Sciences and Techniques Sais,Faculté,Université Sidi Mohamed Ben Abdellah,Fès
156,"Faculté de Médecine, de Pharmacie et de Médecine Dentaire",FMPMD ,Faculty of Dental Medicine,Faculté,Université Sidi Mohamed Ben Abdellah,Fès
157,Ecole Nationale des Sciences Appliquées,ENSA Fès,National School of Applied Sciences,Ecole,Université Sidi Mohamed Ben Abdellah,Fès
158,Ecole Nationale de Commerce et de Gestion,ENCG ,National School of Commerce and Management,Ecole,Université Sidi Mohamed Ben Abdellah,Fès
159,Ecole Normale Supérieure,ENS ,Higher Normal School,Ecole,Université Sidi Mohamed Ben Abdellah,Fès
160,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Sidi Mohamed Ben Abdellah,Fès
161,Institut des Sciences de Sport,ISS ,Institut des Sciences de Sport,Institut,Université Sidi Mohamed Ben Abdellah,Fès
162,Université Sultan Moulay Slimane,USMI,Sultan Moulay Slimane University,Université, Université Sultan Moulay Slimane,Béni Mellal
163,Faculté d'Economie et de Gestion,FEG ,Faculty of Economics and Management,Faculté,Université Sultan Moulay Slimane,Béni Mellal
164,Faculté des Lettres et des Sciences Humaines,FLSH ,Faculty of Letters and Humanities,Faculté,Université Sultan Moulay Slimane,Béni Mellal
165,Faculté Polydisciplinaire,FP,Polydisciplinary Faculty,Faculté,Université Sultan Moulay Slimane,Béni Mellal
166,Faculté Polydisciplinaire,FP ,Polydisciplinary Faculty,Faculté,Université Sultan Moulay Slimane,Khouribga
167,Faculté des Sciences et Techniques,FST ,Faculty of Sciences and Techniques,Faculté,Université Sultan Moulay Slimane,Béni Mellal
168,Faculté de Médecine et de Pharmacie,FMP ,Faculty of Medicine and Pharmacy,Faculté,Université Sultan Moulay Slimane,Béni Mellal
169,Ecole Nationale des Sciences Appliquées,ENSA ,National School of Applied Sciences,Ecole,Université Sultan Moulay Slimane,Béni Mellal
170,Ecole Nationale des Sciences Appliquées,ENSA ,National School of Applied Sciences,Ecole,Université Sultan Moulay Slimane,Khouribga
171,Ecole Nationale de Commerce et de Gestion,ENCG ,National School of Commerce and Management,Ecole,Université Sultan Moulay Slimane,Béni Mellal
172,Ecole Supérieure de l'Education et de la Formation,ESEF ,Higher School of Education and Training,Ecole,Université Sultan Moulay Slimane,Béni Mellal
173,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Sultan Moulay Slimane,Béni Mellal
174,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Sultan Moulay Slimane,Khénifra
175,Ecole Supérieure de Technologie,EST ,Higher School of Technology,Ecole,Université Sultan Moulay Slimane,Fquih Ben Salah
