author_id,author_name,affiliation_full_name,city,affiliation,affiliation_id
56337540400,"Ghzaoui, M"," Applied Mathematics and Information Systems Laboratory, EST of Nador, Mohammed First University, Oujda, Morocco",Oujda,est,118
6507538503,"Hricha, Z","Laboratory LPNAMME, Laser Physics Group, Department of Physics, Faculty of Sciences, Chouaïb Doukkali University, El Jadida, Morocco",El Jadida,faculty of sciences,37
57202009014,"Koubaiti, Ouadie","Department of Mechanical Engineering, Faculty of Sciences and Technics, Fez, Morocco",Fès,faculty of sciences,153
56635965900,"Elkhalfi, Ahmed"," EST, TIn Laboratory, Sidi Mohamed Ben Abdellah University, Fez, Morocco",Fès,est,160
42161181200,"Gourari, Abdelali","Laboratory of Physics High Energy and Astrophysics, Faculty of Sciences Semlalia, Cadi Ayyad University, Marrakech, Morocco",Marrakech,faculty of sciences semlalia,23
56029671700,"Raoufi, Mustapha"," Laboratory of Materials Energy and Environment, Faculty of Sciences Semlalia, Cadi Ayyad University, Marrakech, Morocco",Marrakech,faculty of sciences semlalia,23
57211336066,"Aitziane, A","University Hassan II, Casablanca, Morocco",Casablanca,university hassan 2,53
56118740500,"Barra, A"," Hassan II University, Casablanca, Morocco",Casablanca,hassan 2 university,53
57219424139,"Guennoun, Asmae","Condensed Matter Physics Laboratory, Faculty of Science Ben M'sik, Hassan II University of Casablanca, Casablanca, Morocco",Casablanca,hassan 2 university,53
57190218918,"Lyazidi, Achraf","LRIT, CNRST URAC no. 29, Faculty of Sciences, Rabat IT Center, Mohammed V University in Rabat, 10000, Morocco",Rabat,faculty of sciences,125
57208573349,"Ouakhssase, Abdallah","Research Group: Génie des Procédés Et Ingénierie Chimique, Ecole Supérieure de Technologie d’Agadir, Université Ibn Zohr, Agadir, Morocco",Agadir,ecole superieure de technologie,104
57223918744,"Fatini, Noureddine"," Département de Contaminants Organiques, Laboratoire Marocain de l’Agriculture (LABOMAG), Casablanca, Morocco",Casablanca,,
57218175587,"Elbouzidi, Amine","Laboratory for Agricultural Productions Improvement, Biotechnology and Environment, Faculty of Sciences, University of Mohammed Premier, Oujda, Morocco",Oujda,faculty of sciences,111
57213826439,"Bencheikh, Noureddine"," Laboratory of Bioresources Biotechnology Ethnopharmacology and Health, Department of Biology, Faculty of Sciences, University Mohamed the First, Oujda, Morocco",Oujda,faculty of sciences,111
57225022417,"Seddoqi, Sara"," Office of Sanitary Safety of Food Products (ONSSA), Seed and Plants Control Service, Oujda, Morocco",Oujda,,
55919041000,"Broumi, S"," Laboratory of Information Processing, Faculty of Science Ben M’Sik, University Hassan II, Sidi Othman, Casablanca, 7955, BP, Morocco",Casablanca,university hassan 2,53
57210936345,"Hmamou, Abdelmounim","TTI Team, ERTTI Laboratory, Moulay Ismail University of Meknes, Morocco",Meknès,moulay ismail university,137
56337540400,"Ghzaoui, Mohammed"," Sidi Mohamed Ben Abdellah University, aculty of Sciences, Fes, Morocco",Fès,sidi mohamed ben abdellah university,148
57225051118,"Zhani, Najlae","Rabat Business School – Marketing, International University of Rabat, Rabat, Morocco",Rabat,,
35181693800,"Mouri, Nacef"," Rabat Business School – Supply Chain Management, International University of Rabat, Rabat, Morocco",Rabat,,
6603302255,"Sammouda, M","Polydisciplinary Faculty, Sultan Moulay Slimane University, BP. 592, Béni Mellal, 23000, Morocco",Béni Mellal,polydisciplinary faculty,165
55927932300,"Gueraoui, K"," Faculty of Sciences, Mohammed V University, B.P. 1014 RP, Rabat, Morocco",Rabat,faculty of sciences,125
57975906700,"Mahmoudi, Laila","Service de radiologie, CHU Mohammed V, Oujda, Morocco",Oujda,,
55754247600,"Basset, Abdelhalim","LSSC, Faculty of Science and Technology, Sidi Mohmed ben Abdellah University, Morocco",,,
57207033050,"Aghoutane, Bilal"," ISO Laboratory, Department of Computer Science, Ibn Tofail University, Kenitra, Morocco",Kénitra,ibn tofail university,72
56337540400,"Ghzaoui, Mohammed"," Sidi Mohamed Ben Abdellah University, Faculty of Sciences, Fes, Morocco",Fès,faculty of sciences,153
57210581446,"Aguni, L","Department of physics, Cadi Ayyad University Faculty of Sciences, Semlalia Marrakesh, Morocco",Marrakech,faculty of sciences,23
26431728400,"Chabaa, S"," Industrial Engineering Department, National School of Applied Sciences, Ibn Zohr University, Agadir, Morocco",Agadir,national school of applied sciences,99
57190574636,"Amrani, Abderrahim","Lisac Laboratory, Sidi Mohamed Ben Abdellah University, Fsdm, Fes, Morocco",Fès,sidi mohamed ben abdellah university,148
57210448777,"Benali, Saad","Department of Gynecology and Obstetrics, Military Hospital of Instructions Mohamed V of Rabat, Rabat, Morocco",Rabat,,
57212996775,"Achour, Safaa","A researcher at the Computer Science Laboratory, Ibn Tofail University, Kenitra, Morocco",Kénitra,ibn tofail university,72
55497760100,"Benattou, Mohammed"," A full professor of Computer Science Department, Ibn Tofail University, Morocco",Fès,,
54911738900,"Hachimi, Hanaa"," University Moulay Slimane University, Beni Mellal, Morocco",Béni Mellal,,
57217078398,"Mokhi, Chakib"," ENSA de kenitra, University of Ibn Tofail, Kenitra, Morocco",Kénitra,ensa,78
16024103100,"Addaim, Adnane"," Ibn Tofail University, Faculty of Sciences, Kenitra, Morocco",Kénitra,faculty of sciences,77
36964804200,"Chaoui, I","National Center for Energy, Sciences and Nuclear Techniques, Rabat, Morocco",Rabat,,
57225142717,"Taoudi, S"," Moulay Youssef Hospital, Rabat, Morocco",Rabat,,
57212609076,"Karrou, Marouan","Departments of Endocrinology-Diabetology and Nutrition, Mohammed VI University Hospital Centre, Oujda, Oujda-Angad, Morocco",Oujda,,
57222640526,"Benyakhlef, Salma"," Departments of Radiology, Mohammed VI University Hospital Centre, Oujda, Oujda-Angad, Morocco",Oujda,,
57225067933,"Alla, Achwak"," Departments of Neurosurgery, Mohammed VI University Hospital Centre, Oujda, Oujda-Angad, Morocco",Oujda,,
57225080720,"Messaoudi, Najoua"," Departments of Epidemiology, Medical School, Mohammed VI University Hospital Centre, Oujda, Oujda-Angad, Morocco",Oujda,,
57211905197,"Koumou, Ga","Service de Néphrologie, Centre Hospitalier Universitaire Hassan II, Fès, Morocco",Fès,,
56958419000,"Pam, Kevin"," Service de Traumatologie-Orthopédie B4, Centre Hospitalier Universitaire Hassan II, Fès, Morocco",Fès,,
23096877000,"Arrayhani, Mohamed"," Equipe de Recherche Renal Exploration and Investigations in Nephrology (REIN), Faculté de Médecine et de Pharmacie de Fès, Fès, Morocco",Fès,,
57203694750,"Kouzmanov, Kalin"," Department of Geology, Hassan Ii University of Casablanca, Geodynamics of Old Chains Laboratory, Casablanca, Morocco",Casablanca,hassan 2 university,53
57193860043,"Abdelaali, Balahbib","Laboratory of Biodiversity, Ecology and Genome, Mohammed v University in Rabat, Rabat, Morocco",Rabat,mohammed 5 university,120
