id,Affiliation,Abbreviation,University,City
109,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Mohammed Premier,Oujda
110,Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Mohammed Premier,Oujda
111,Faculté des Sciences ,FS ,Université Mohammed Premier,Oujda
112,Faculté Polydisciplinaire ,FP ,Université Mohammed Premier,Nador
113,Faculté de Médecine et de Pharmacie ,FMP ,Université Mohammed Premier,Oujda
114,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Mohammed Premier,Oujda
115,Ecole Nationale Supérieure de l'Intelligence Artificielle et du Digital ,ENSIAD ,Université Mohammed Premier,Berkane
116,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Mohammed Premier,Oujda
117,Ecole Supérieure de l'Education et de la Formation ,ESEF ,Université Mohammed Premier,Oujda
118,Ecole Supérieure de Technologie ,EST ,Université Mohammed Premier,Oujda
119,Ecole Supérieure de Technologie ,EST ,Université Mohammed Premier,Nador
120,Université Mohammed V,UMV, Université Mohammed V, Rabat
121,"Faculté des Sciences Juridiques, Economiques et Sociales Agdal",FSJES Agdal,Université Mohammed V,Rabat
122,"Faculté des Sciences Juridiques, Economiques et Sociales Souissit",FSJES Souissi,Université Mohammed V,Rabat
123,"Faculté des Sciences Juridiques, Economiques et Sociales",FSJES Salé,Université Mohammed V,Salé
124,Faculté des Lettres et des Sciences Humaines,FLSH,Université Mohammed V,Rabat
125,Faculté des Sciences ,FS ,Université Mohammed V,Rabat
126,Faculté de Médecine et de Pharmacie,FMP,Université Mohammed V,Rabat
127,Faculté de Médecine Dentaire ,FMD ,Université Mohammed V,Rabat
128,Ecole Mohammadia d'Ingénieurs ,EMI ,Université Mohammed V,Rabat
129,Ecole Nationale Supérieure d'Informatique et d'Analyse des Systèmes ,ENSIAS ,Université Mohammed V,Rabat
130,Ecole Nationale Supérieure des Arts et Métiers ,ENSAM ,Université Mohammed V,Rabat
131,Faculté des Sciences de l'Education ,FSE ,Université Mohammed V,Rabat
132,Ecole Normale Supérieure ,ENS ,Université Mohammed V,Rabat
133,Ecole Supérieure de Technologie ,EST ,Université Mohammed V,Salé
134,Institut Scientifique ,IS ,Université Mohammed V,Rabat
135,Institut d'Etudes et de Recherches pour l'Arabisation ,IERA ,Université Mohammed V,Rabat
136,"Institut Universitaire des Etudes Africaines, Euro-méditerranéennes et Ibero-américaines",IUEAMIA ,Université Mohammed V,Rabat
137,Université Moulay Ismail,UMI,Université Moulay Ismail,Meknès
138,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Moulay Ismail,Meknès
139,Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Moulay Ismail,Meknès
140,Faculté des Sciences ,FS ,Université Moulay Ismail,Meknès
141,Faculté Polydisciplinaire ,FP ,Université Moulay Ismail,Errachidia
142,Faculté des Sciences et Techniques ,FST ,Université Moulay Ismail,Errachidia
143,Faculté de Médecine et Pharmacie ,FMP ,Université Moulay Ismail,Errachidia
144,Ecole Nationale Supérieure des Arts et Métiers ,ENSAM ,Université Moulay Ismail,Meknès
145,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Moulay Ismail,Meknès
146,Ecole Normale Supérieure ,ENS ,Université Moulay Ismail,Meknès
147,Ecole Supérieure de Technologie ,EST ,Université Moulay Ismail,Meknès
148,Université Sidi Mohamed Ben Abdellah,USMBA,Université Sidi Mohamed Ben Abdellah ,Fès
149,Faculté Chariâa ,Faculté Chariâa ,Université Sidi Mohamed Ben Abdellah,Fès
150,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Sidi Mohamed Ben Abdellah,Fès
151,Faculté des Lettres et des Sciences Humaines Dhar El Mahraz ,FLSH Dhar El Mahraz ,Université Sidi Mohamed Ben Abdellah,Fès
152,Faculté des Lettres et des Sciences Humaines Sais ,FLSH Sais ,Université Sidi Mohamed Ben Abdellah,Fès
153,Faculté des Sciences Dhar El Mahraz ,FS Dhar El Mahraz ,Université Sidi Mohamed Ben Abdellah,Fès
