author_id,author_name,affiliation_full_name,country
6603432556,"Assaid, El","Dept. of Physics, Faculty of Sciences, El Jadida, B. P. 20, Morocco",morocco
6602180907,"Feddi, El"," Dept. of Physics, E. N. S. E. T., Mohammedia, Morocco",morocco
23994934400,"Aydi, M"," Dept. of Mathematics, C. P. R., El Jadida, Morocco",morocco
56971762300,"Lahmer, M","ESTM, Meknes, Morocco",morocco
24528348500,"Belkasmi, M"," ENSIAS, Rabat, Morocco",morocco
6506300968,"Taher, R","Département de Mathématiques et Informatique, Université My Ismail, Beni M'hamed, Méknés, B.P. 4010, Morocco",morocco
55805881500,"Fetnassi, M"," Département de Mathématiques et Informatique, Université Mohammed V, Rabat, B.P. 1014, Morocco",morocco
6507509390,"Kchikach, M","Academie Internationale Mohamed VI de l'Aviation Civile, Office Nationale des Aeroports (ONDA) Aéroport Mohammed V, Nouacer, Casablanca, Morocco",morocco
57191524891,"Menou, A"," Ecole Nationale de l'Industrie Minérale (ENIM), Rabat, Morocco",morocco
56614783200,"Mourabit, A","LABTIC, École Nationale des Sciences Appliquées de Tanger, Tanger, Route Ziaten, Km 10, Morocco",morocco
24822856900,"Sbaa, M"," ST Microelectronics, Rabat, Morocco",morocco
6603659312,"Wartiti, M","Mohammed v University, Earth Sciences Department, Morocco",morocco
23018378800,"Rhaffari, L","Lab. Valorisation Preservation Plantes Medicinales et Aromatiques des Zones Arides et Semi-arides, Faculté de Sciences et Techniques Errachidia, Boutalamine, B.P. 509, Morocco",morocco
6507327401,"Alaoui, M"," Laboratoire de Chimie et Biochimie Institut Agronomique et Veterinaire Hassan II, Rabat, B.P. Rabat-Institut, Morocco",morocco
35081665700,"Belkamel, J"," Department of Biology, Faculté des Sciences et Techniques, Marrakech, B.P. 549, Morocco",morocco
23566932800,"Nouiri, Hicham","Laboratoire de Zoologie, Département de Biologie, Faculté des Sciences, Agdal, 10106 Rabat, Avenue Ibn Battota, Morocco",morocco
27367447100,"Amine, Khalid","Department of Performance Studies, Faculty of Humanities, Abdelmalek Esaadi University, Tetouan, Morocco",morocco
42960950600,"Abik, Mounia","Ecole Nationale Supérieure d'Informatique et d'Analyse des Systèmes, Laboratoire LAGI, Morocco",morocco
31967453500,"Chikhaoui, Na","Faculté des Lettres et des Sciences Humaines, Rabat, Département de Sociologie Anthropologic Sociale, Morocco",morocco
7006129619,"Cabrera, Eduardo"," Departement de Biologie, Unité des Substances Naturelles, Faculté de Medecine et Pharmacie, Rabat, Morocco",morocco
23061439700,"Reggoug, Sanae","Clinique Médicale B, Hépato-Gastroentérologie et Proctologie, CHU Ibn-Sina, Rabat, Morocco",morocco
14035575400,"Errabih, Ikrame"," Service des Explorations Fonctionnelles Digestives, CHU Ibn-Sina, Rabat, Morocco",morocco
6504378235,"Bouhdadi, Mohamed","Department of Mathematics and Computer Science, University Mohammed V Faculty of Sciences, Rabat, B.P1014, Morocco",morocco
6506646228,"Hajji, B","Department of Electrical Engineering ENSA, Mohammed 1st University, Oujda, Morocco",morocco
