ID,Title,Issn,Rank,SJR,Publisher,Type,Areas
21100237403,"Lancet Diabetes and Endocrinology,The","22138595, 22138587",74,"10,247",Elsevier Ltd,journal,"Biochemistry, Genetics and Molecular Biology; Medicine"
21100780831,Nature Reviews Disease Primers,2056676X,75,"10,215",Nature Publishing Group,journal,Medicine
28677,Living Reviews in Relativity,"14338351, 23673613",76,"10,188",Springer International Publishing AG,journal,Physics and Astronomy
13969,Psychological Science in the Public Interest,"21600031, 15291006",77,"9,887",SAGE Publications Inc.,journal,Psychology
25297,Journal of Hepatology,"16000641, 01688278",78,"9,857",Elsevier B.V.,journal,Medicine
19700188417,Annual Review of Condensed Matter Physics,"19475454, 19475462",79,"9,821",Annual Reviews Inc.,journal,Materials Science; Physics and Astronomy
16801,Annual Review of Biochemistry,"15454509, 00664154",80,"9,745",Annual Reviews Inc.,journal,"Biochemistry, Genetics and Molecular Biology"
17700156208,Nature Reviews Gastroenterology and Hepatology,"17595045, 17595053",81,"9,741",Nature Publishing Group,journal,Medicine
26756,Astronomy and Astrophysics Review,"09354956, 14320754",82,"9,664",Springer Verlag,journal,Earth and Planetary Sciences; Physics and Astronomy
20313,Nature Reviews Microbiology,"17401534, 17401526",83,"9,639",Nature Publishing Group,journal,Immunology and Microbiology; Medicine
21101049051,Nature Reviews Earth and Environment,2662138X,84,"9,521",Springer International Publishing,journal,Earth and Planetary Sciences; Environmental Science
13900,Cell Research,"17487838, 10010602",85,"9,506",Nature Publishing Group,journal,"Biochemistry, Genetics and Molecular Biology"
12010,Annual Review of Psychology,"00664308, 15452085",86,"9,438",Annual Reviews Inc.,journal,Psychology
21100804406,"Lancet Public Health, The",24682667,87,"9,434",Elsevier Ltd,journal,Medicine
18606,Molecular Cell,"10974164, 10972765",88,"9,332",Cell Press,journal,"Biochemistry, Genetics and Molecular Biology"
19881,Advanced Materials,"09359648, 15214095",89,"9,191",Wiley-Blackwell,journal,Engineering; Materials Science
28973,Journal of Econometrics,"03044076, 18726895",90,"9,161",Elsevier B.V.,journal,"Economics, Econometrics and Finance"
17700156773,Synthesis Lectures on Artificial Intelligence and Machine Learning,"19394616, 19394608",91,"9,129",Springer International Publishing,book series,Computer Science
21100786228,"Lancet Gastroenterology and Hepatology, The",24681253,92,"8,957",Elsevier Ltd,journal,Medicine
19900191767,American Economic Journal: Applied Economics,"19457790, 19457782",93,"8,933",American Economic Association,journal,"Economics, Econometrics and Finance"
19700200701,Annual Review of Economics,"19411383, 19411391",94,"8,925",Annual Reviews Inc.,journal,"Economics, Econometrics and Finance"
24535,Acta Numerica,"14740508, 09624929",95,"8,913",Cambridge University Press,journal,Mathematics
19014,Nature Cell Biology,"14764679, 14657392",96,"8,913",Nature Publishing Group,journal,"Biochemistry, Genetics and Molecular Biology"
28599,Reviews of Geophysics,"19449208, 87551209",97,"8,853",John Wiley and Sons Inc.,journal,Earth and Planetary Sciences
21101101215,Cell Genomics,2666979X,98,"8,807",Cell Press,journal,"Biochemistry, Genetics and Molecular Biology"
22401,Journal of the American College of Cardiology,"15583597, 07351097",99,"8,762",Elsevier Inc.,journal,Medicine
21100860945,Science immunology,24709468,100,"8,761",American Association for the Advancement of Science,journal,Immunology and Microbiology; Medicine
13839,Annual Review of Fluid Mechanics,"15454479, 00664189",101,"8,751",Annual Reviews Inc.,book series,Physics and Astronomy
21100199127,Advanced Energy Materials,"16146832, 16146840",102,"8,748",John Wiley and Sons Inc.,journal,Energy; Materials Science
21100888816,Signal Transduction and Targeted Therapy,"20593635, 20959907",103,"8,737",Springer Nature,journal,"Biochemistry, Genetics and Molecular Biology"
21100228100,Advances in Optics and Photonics,19438206,104,"8,735",Optica Publishing Group (formerly OSA),journal,Environmental Science; Physics and Astronomy
18902,IEEE Journal on Selected Areas in Communications,07338716,105,"8,707",Institute of Electrical and Electronics Engineers Inc.,journal,Computer Science; Engineering
14181,Annual Review of Neuroscience,"0147006X, 15454126",106,"8,658",Annual Reviews Inc.,journal,Neuroscience
21101151587,eLight,"26628643, 20971710",107,"8,650",Springer,journal,Materials Science; Physics and Astronomy
16860,"Lancet Neurology, The","14744465, 14744422",108,"8,589",Elsevier Ltd,journal,Medicine
22581,Circulation,"00097322, 15244539",109,"8,415",Lippincott Williams and Wilkins Ltd.,journal,Medicine
13443,Psychological Bulletin,"00332909, 19391455",110,"8,412",American Psychological Association,journal,Arts and Humanities; Psychology
17700156509,Nature Reviews Cardiology,"17595010, 17595002",111,"8,408",Nature Publishing Group,journal,Medicine
29838,Journal of Accounting and Economics,01654101,112,"8,337",Elsevier B.V.,journal,"Business, Management and Accounting; Economics, Econometrics and Finance"
20191,Academy of Management Journal,00014273,113,"8,271",Academy of Management,journal,"Business, Management and Accounting"
4000151822,Nature Physics,17452473,114,"8,228",Nature Publishing Group,journal,Physics and Astronomy
12429,Molecular Cancer,14764598,115,"8,222",BioMed Central Ltd,journal,"Biochemistry, Genetics and Molecular Biology; Medicine"
21101101212,AI Open,26666510,116,"8,119",KeAi Communications Co.,journal,Computer Science
28366,Gut,"14683288, 00175749",117,"8,052",BMJ Publishing Group,journal,Medicine
21100203106,Foundations and Trends in Finance,"15672409, 15672395",118,"8,051",Now Publishers Inc,journal,"Economics, Econometrics and Finance"
5200152836,Synthesis Lectures on Communication Networks,19354185,119,"7,993",Morgan and Claypool Publishers,book series,Computer Science
21100773752,Nature Microbiology,20585276,120,"7,982",Nature Publishing Group,journal,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
21100220495,"Lancet Respiratory Medicine,The","22132619, 22132600",121,"7,965",Elsevier Ltd,journal,Medicine
21100831443,Nature Biomedical Engineering,2157846X,122,"7,951",Nature Publishing Group,journal,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Medicine"
26038,Endocrine Reviews,"19457189, 0163769X",123,"7,922",The Endocrine Society,journal,"Biochemistry, Genetics and Molecular Biology; Medicine"
6400153137,Journal of Thoracic Oncology,"15561380, 15560864",124,"7,879",Elsevier Inc.,journal,Medicine
17437,Nature Reviews Neuroscience,"14710048, 1471003X",125,"7,860",Nature Publishing Group,journal,Neuroscience
21100420583,JAMA Oncology,"23742445, 23742437",126,"7,843",American Medical Association,journal,"Biochemistry, Genetics and Molecular Biology; Medicine"
21100972445,Nature Reviews Physics,25225820,127,"7,833",Springer International Publishing,journal,Physics and Astronomy
21100356804,"Lancet Psychiatry,The","22150374, 22150366",128,"7,827",Elsevier Ltd,journal,Medicine; Neuroscience
23157,Strategic Management Journal,"10970266, 01432095",129,"7,820",John Wiley and Sons Ltd,journal,"Business, Management and Accounting"
17899,Progress in Materials Science,"18732208, 00796425",130,"7,796",Elsevier Ltd,journal,Materials Science
16160,Review of Finance,"1573692X, 15723097",131,"7,769",Oxford University Press,journal,"Business, Management and Accounting; Economics, Econometrics and Finance"
24972,ACM Transactions on Graphics,"15577368, 07300301",132,"7,766",Association for Computing Machinery (ACM),journal,Computer Science
5300152732,Cell Host and Microbe,"19346069, 19313128",133,"7,760",Cell Press,journal,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
17978,Neuron,"10974199, 08966273",134,"7,728",Cell Press,journal,Neuroscience
21100198409,Nature Climate Change,"17586798, 1758678X",135,"7,724",Nature Publishing Group,journal,Environmental Science; Social Sciences
21100863710,Annual Review of Organizational Psychology and Organizational Behavior,23270608,136,"7,706",Annual Reviews Inc.,journal,"Business, Management and Accounting; Psychology"
16721,Annual Review of Plant Biology,"15452123, 15435008",137,"7,555",Annual Reviews Inc.,journal,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
24204,Review of Economics and Statistics,"00346535, 15309142",138,"7,553",MIT Press Journals,journal,"Economics, Econometrics and Finance; Social Sciences"
20635,Journal of Management,"01492063, 15571211",139,"7,539",SAGE Publications Inc.,journal,"Business, Management and Accounting; Economics, Econometrics and Finance"
21100212318,Cancer Discovery,"21598274, 21598290",140,"7,533",American Association for Cancer Research Inc.,journal,Medicine
17900156736,Journal of Hematology and Oncology,17568722,141,"7,522",BioMed Central Ltd,journal,"Biochemistry, Genetics and Molecular Biology; Medicine"
28980,Journal of Economic Perspectives,08953309,142,"7,496",American Economic Association,journal,"Economics, Econometrics and Finance"
19700173023,Living Reviews in Solar Physics,"16144961, 23673648",143,"7,472",Springer International Publishing AG,journal,Earth and Planetary Sciences; Physics and Astronomy
5800207366,Nature Protocols,17542189,144,"7,419",Nature Publishing Group,journal,"Biochemistry, Genetics and Molecular Biology"
21706,Annual Review of Genetics,"15452948, 00664197",145,"7,366",Annual Reviews Inc.,journal,"Biochemistry, Genetics and Molecular Biology"
21100873499,Nature Sustainability,23989629,146,"7,366",Nature Publishing Group,journal,Agricultural and Biological Sciences; Energy; Environmental Science; Social Sciences
28330,Gastroenterology,"15280012, 00165085",147,"7,362",W.B. Saunders,journal,Medicine
4600151524,Annual Review of Clinical Psychology,"15485951, 15485943",148,"7,348",Annual Reviews Inc.,journal,Medicine; Psychology
21100922606,"Lancet Digital Health, The",25897500,149,"7,277",Elsevier Ltd,journal,Decision Sciences; Health Professions; Medicine
17700156440,Nature Reviews Endocrinology,"17595037, 17595029",150,"7,274",Nature Publishing Group,journal,"Biochemistry, Genetics and Molecular Biology; Medicine"
21101038708,The Innovation,26666758,151,"7,268",Cell Press,journal,Multidisciplinary
21100832985,ACS Energy Letters,23808195,152,"7,202",American Chemical Society,journal,Chemistry; Energy; Materials Science
40944,Genome Biology,14747596,153,"7,197",BioMed Central Ltd,journal,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
24385,Journal of the Academy of Marketing Science,"00920703, 15527824",154,"7,194",Springer New York,journal,"Business, Management and Accounting; Economics, Econometrics and Finance"
21100932733,Nature Metabolism,25225812,155,"7,192",Springer Berlin,journal,"Biochemistry, Genetics and Molecular Biology; Medicine"
24721,Annals of Mathematics,0003486X,156,"7,154",Department of Mathematics at Princeton University,journal,Decision Sciences; Mathematics
12394,Nature Structural and Molecular Biology,"15459993, 15459985",157,"7,151",Nature Publishing Group,journal,"Biochemistry, Genetics and Molecular Biology"
11700154368,Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,"16181913, 00738301",158,"7,086",Springer Verlag,journal,Mathematics
14204,Nucleic Acids Research,"03051048, 13624962",159,"7,048",Oxford University Press,journal,"Biochemistry, Genetics and Molecular Biology"
18100156701,Nature Chemistry,"17554330, 17554349",160,"6,940",Nature Publishing Group,journal,Chemical Engineering; Chemistry
19897,European Urology,"18737560, 03022838",161,"6,928",Elsevier B.V.,journal,Medicine
120008,Annual Review of Physiology,"00664278, 15451585",162,"6,870",Annual Reviews Inc.,journal,"Biochemistry, Genetics and Molecular Biology"
21272,Journal of Experimental Medicine,"00221007, 15409538",163,"6,838",Rockefeller University Press,journal,Immunology and Microbiology; Medicine
17814,Materials Science and Engineering: R: Reports,0927796X,164,"6,822",Elsevier B.V.,journal,Engineering; Materials Science; Physics and Astronomy
21101046230,Electrochemical Energy Reviews,"25208136, 25208489",165,"6,791",Springer Science and Business Media B.V.,journal,Chemical Engineering; Chemistry; Energy; Materials Science
18567,Fungal Diversity,"15602745, 18789129",166,"6,787",,journal,Agricultural and Biological Sciences; Environmental Science
19651,Clinical Microbiology Reviews,"08938512, 10986618",167,"6,762",American Society for Microbiology,journal,Immunology and Microbiology; Medicine
22330,Organizational Research Methods,"15527425, 10944281",168,"6,712",SAGE Publications Inc.,journal,"Business, Management and Accounting; Decision Sciences"
72242,International Journal of Computer Vision,"09205691, 15731405",169,"6,668",Springer Netherlands,journal,Computer Science
7500153126,Journal of the European Economic Association,"15424774, 15424766",170,"6,658",Wiley-Blackwell,journal,"Economics, Econometrics and Finance"
29857,Journal of Accounting Research,"1475679X, 00218456",171,"6,625",Wiley-Blackwell Publishing Ltd,journal,"Business, Management and Accounting; Economics, Econometrics and Finance"
21100886132,Science Robotics,24709476,172,"6,601",American Association for the Advancement of Science,journal,Computer Science; Engineering; Mathematics
17555,Journal of Monetary Economics,03043932,173,"6,564",Elsevier B.V.,journal,"Economics, Econometrics and Finance"
21100788876,Chem,"24519308, 24519294",174,"6,556",Elsevier Inc.,journal,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Environmental Science; Materials Science; Medicine"
19900191884,American Economic Journal: Economic Policy,"19457731, 1945774X",175,"6,519",American Economic Association,journal,"Economics, Econometrics and Finance"
19700174677,Science Translational Medicine,"19466234, 19466242",176,"6,510",American Association for the Advancement of Science,journal,Medicine
21100203115,Nano-Micro Letters,"23116706, 21505551",177,"6,484",Open Access Science Online,journal,Engineering; Materials Science
18395,Annual Review of Cell and Developmental Biology,"15308995, 10810706",178,"6,456",Annual Reviews Inc.,journal,"Biochemistry, Genetics and Molecular Biology"
15388,Journal of Applied Psychology,"19391854, 00219010",179,"6,453",American Psychological Association,journal,Psychology
29229,Physics Reports,03701573,180,"6,435",Elsevier B.V.,journal,Physics and Astronomy
24668,Journal of the American Mathematical Society,"10886834, 08940347",181,"6,428",American Mathematical Society,journal,Mathematics
12499,Neuro-Oncology,"15228517, 15235866",182,"6,348",Oxford University Press,journal,"Biochemistry, Genetics and Molecular Biology; Medicine"
22471,"Lancet Infectious Diseases, The","14744457, 14733099",183,"6,329",Lancet Publishing Group,journal,Medicine
21100926577,Review of Asset Pricing Studies,"20459920, 20459939",184,"6,315",Oxford University Press,journal,"Economics, Econometrics and Finance"
23038,ACM Computing Surveys,"03600300, 15577341",185,"6,280",Association for Computing Machinery (ACM),journal,Computer Science; Mathematics
21101046404,Advances in Methods and Practices in Psychological Science,"25152459, 25152467",186,"6,269",SAGE Publications Inc.,journal,Psychology
21100228547,JAMA Psychiatry,"21686238, 2168622X",187,"6,241",American Medical Association,journal,Medicine
17700156408,Nature Reviews Neurology,"17594766, 17594758",188,"6,237",Nature Publishing Group,journal,Medicine; Neuroscience
14719,Intensive Care Medicine,"14321238, 03424642",189,"6,232",Springer Verlag,journal,Medicine
21100826360,JAMA Cardiology,"23806583, 23806591",190,"6,231",American Medical Association,journal,Medicine
21100265444,"Lancet Global Health,The",2214109X,191,"6,221",Elsevier B.V.,journal,Medicine
26465,Progress in Polymer Science,00796700,192,"6,211",Elsevier Ltd,journal,Chemistry; Materials Science; Physics and Astronomy
21101118502,Advanced Powder Materials,2772834X,193,"6,197",KeAi Communications Co.,journal,Chemical Engineering; Energy; Materials Science
21100228519,JAMA Neurology,"21686157, 21686149",194,"6,194",American Medical Association,journal,Medicine
24254,IEEE Transactions on Pattern Analysis and Machine Intelligence,01628828,195,"6,158",IEEE Computer Society,journal,Computer Science; Mathematics
26107,"Philosophical Review, The",00318108,196,"6,146",Duke University Press,journal,Arts and Humanities
19136,Annals of the Rheumatic Diseases,"00034967, 14682060",197,"6,138",BMJ Publishing Group,journal,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
27538,Progress in Energy and Combustion Science,03601285,198,"6,114",Elsevier B.V.,journal,Chemical Engineering; Energy
21100838541,Nature Human Behaviour,23973374,199,"6,097",Nature Publishing Group,journal,Neuroscience; Psychology
17915,Proceedings of the IEEE,"15582256, 00189219",200,"6,085",Institute of Electrical and Electronics Engineers Inc.,journal,Computer Science; Engineering
20246,Journal of Labor Economics,"0734306X, 15375307",201,"6,084",University of Chicago,journal,"Business, Management and Accounting; Economics, Econometrics and Finance"
19600166419,Foundations and Trends in Signal Processing,"19328346, 19328354",202,"6,069",Now Publishers Inc,journal,Computer Science
21191,Pharmacological Reviews,"15210081, 00316997",203,"6,050",American Society for Pharmacology and Experimental Therapeutics,journal,"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
19066,Trends in Cell Biology,"09628924, 18793088",204,"6,002",Elsevier Ltd,journal,"Biochemistry, Genetics and Molecular Biology"
22961,Journal of Marketing Research,"00222437, 15477193",205,"5,984",American Marketing Association,journal,"Business, Management and Accounting; Economics, Econometrics and Finance"
17600155011,Molecular Plant,"16742052, 17529867",206,"5,967",Cell Press,journal,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
24769,Materials Today,"13697021, 18734103",207,"5,949",Elsevier B.V.,journal,Engineering; Materials Science; Physics and Astronomy
22657,Accounts of Chemical Research,"00014842, 15204898",208,"5,948",American Chemical Society,journal,Chemistry; Medicine
21101007236,Nature Machine Intelligence,25225839,209,"5,940",Springer International Publishing,journal,Computer Science
17700156202,Nature Reviews Nephrology,"1759507X, 17595061",210,"5,939",Nature Publishing Group,journal,Medicine
85291,JAMA - Journal of the American Medical Association,"15383598, 00987484",211,"5,928",American Medical Association,journal,Medicine
18935,IEEE Wireless Communications,15361284,212,"5,926",Institute of Electrical and Electronics Engineers Inc.,journal,Computer Science; Engineering
15090,Progress in Retinal and Eye Research,"13509462, 18731635",213,"5,923",Elsevier Ltd,journal,Medicine; Neuroscience
23188,European Journal of Heart Failure,"13889842, 18790844",214,"5,919",Wiley-Blackwell,journal,Medicine
19133,Annual Review of Entomology,"00664170, 15454487",215,"5,909",Annual Reviews Inc.,journal,Agricultural and Biological Sciences
21100201772,Physical Review X,21603308,216,"5,896",American Physical Society,journal,Physics and Astronomy
17600155041,Nature Geoscience,"17520908, 17520894",217,"5,874",Nature Publishing Group,journal,Earth and Planetary Sciences
18525,Developmental Cell,"15345807, 18781551",218,"5,828",Cell Press,journal,"Biochemistry, Genetics and Molecular Biology"
15646,Annual Review of Political Science,"10942939, 15451577",219,"5,826",Annual Reviews Inc.,book series,Social Sciences
100147318,Entrepreneurship Theory and Practice,"10422587, 15406520",220,"5,819",Wiley-Blackwell,journal,"Business, Management and Accounting; Economics, Econometrics and Finance"
15631,International Journal of Information Management,02684012,221,"5,775",Elsevier Ltd,journal,"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
16512,Review of Educational Research,"00346543, 19351046",222,"5,772",SAGE Publications Inc.,journal,Social Sciences
21100241219,JACC: Heart Failure,"22131787, 22131779",223,"5,724",Elsevier Inc.,journal,Medicine
21101083188,Nature Aging,26628465,224,"5,705",Springer,journal,"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
25491,Diabetes Care,"19355548, 01495992",225,"5,694",American Diabetes Association Inc.,journal,Medicine; Nursing
21101070988,InfoMat,25673165,226,"5,672",John Wiley and Sons Ltd,journal,Materials Science
12854,Clinical Psychology Review,"18737811, 02727358",227,"5,653",Elsevier Inc.,journal,Medicine; Psychology
26099,Information Fusion,"18726305, 15662535",228,"5,647",Elsevier B.V.,journal,Computer Science
23714,Marketing Science,"07322399, 1526548X",229,"5,643",INFORMS Institute for Operations Research and the Management Sciences,journal,"Business, Management and Accounting; Economics, Econometrics and Finance"
