id,Name,affiliation_id
21733651700,"Glouib, K",47
6701588911,"Lyoussi, Badi",153
7005093214,"Bakri, Youssef",125
6603715178,"Ori, Gian",23
12797326600,"Ouchani, N",111
23134678800,"Mehrach, Khadija",91
15759753800,"Hemine, J",62
20435893500,"Mahmoudi, Abdelkader",140
35085209600,"Pastor, M",9
18036420700,"Kbir, M",9
6506878382,"Benslimane, Rachid",160
18436166300,"Alaoui, L",153
18436673400,"Haoudi, A",125
59344340400,"Jraifi, A",125
35618201300,"Saidi, E",125
14420706700,"Elhoucien, Elqorachi",91
6507216953,"Belkyal, Imane",23
10938907900,"Issami, S",91
6601993667,"Bazzi, L",111
57204409247,"Idrissi, N",63
25635324400,"Aganchich, B",18
16481488400,"Tahi, H",25
8532460300,"Aylaj, B",37
14008441800,"Gammoun, A",37
14008140000,"Tahiri, S",53
6603113696,"Albizane, A",62
7004264890,"Elmidaoui, A",72
6507762268,"Sahli, M",77
6507559462,"Annouar, S",37
12545709400,"Tahaikt, M",37
17345380800,"Doubia, Mohamadou",120
12240087700,"Bouhfid, Rachid",125
9740386900,"Chourak, M",111
24381480900,"Bakasse, M",37
6507134467,"Yacoubi, B",91
6602213078,"ri, Abderrahim",37
18134709700,"Talbi, Mohammed",111
59210691600,"Lefdil, M",120
8294506100,"Nafidi, Abdelhakim",91
8394212100,"Ibenyassine, K",62
56239469600,"Saeed, U",125
7801537828,"Feddaoui, M",99
7004180868,"Marquez, Nieves",23
6505924889,"Babram, M",23
34570868200,"Lamarti, Ahmed",6
15043686000,"Bouallal, Brahim",91
6602792261,"Dakki, Mohamed",134
16205031600,"Boudina, Aicha",23
6602486732,"Baouid, Abdesselam",108
12042444000,"Madidi, Sa",91
12345579300,"Belouaggadia, N",53
57203251117,"Amine, Aziz",62
6603910628,"Benbouazza, Karima",126
16643724800,"Rharrabe, Kacem",9
6508143673,"Hbid, My",23
7004281004,"Malek, Fouad",111
16425836800,"Moutaouakil, Sa",23
8296581200,"Yahyi, Abderrahmane",111
16743568800,"Ettouhami, Abdelkader",111
12763650800,"Halime, Zakaria",153
23979606500,"Kassaoui, H",125
6505484334,"Zaida, Farida",23
55427204800,"Mansour, A",23
8528337300,"Hanbali, Fadwa",62
6503948508,"Hakmaoui, Ahmed",142
8219624000,"Maniar, L",23
16052225100,"Guedouzi, Mohamed",53
32667623300,"Ezzahar, J",23
15925181100,"Battace, Ahmed",140
26634620300,"Taoudi, M",23
16246649600,"Touraghe, O",37
24765257400,"Mamouni, Rachid",91
8711414300,"Ihlal, A",91
56315444900,"Bouabid, K",23
12786208900,"Tijani, N",62
7202533587,"Calvo, J",140
6505808527,"Chennouf, Touria",111
15737267800,"Mezzoug, N",6
56502016500,"Semma, El",47
24491484300,"Achak, M",23
8899799600,"Benbrik, Rachid",23
15724227500,"Boukha, Zouhair",125
13405744000,"Elazzouzi, Abdelhai",23
7004158221,"Lagrenée, M",37
6505973479,"Louihi, M",23
6603360503,"Ouasri, A",77
55909059300,"Bouabdallah, Ibrahim",111
16744597900,"Sekkaf, S",63
7003745614,"Bacsa, Wolfgang",167
8045939900,"Ameur, El",142
6602263581,"Sbibih, Driss",118
6602660567,"Essaleh, L",23
55879958400,"Bouchiba, Samir",137
14055987700,"Harti, Sanae",9
6602805327,"Maya, Celia",23
16315526500,"Malti, Jazila",37
6506817197,"Gmira, Abdelilah",6
6506848121,"Bouougri, El",23
35480095700,"Saxena, S",111
16306252700,"Bouzelmate, Arij",6
56219880700,"Benyoussef, A",125
6603494695,"Soumhi, El",18
16316551800,"Mhamdi, Badre",153
57209033522,"Azzouzi, Assia",159
6507737180,"Sibai, Hicham",37
12768003800,"Boukallaba, K",153
6603655201,"Elachqar, A",153
6506881871,"Hajji, S",153
6603147537,"Azeddoug, Houssine",6
6601976629,"Meskini, Nadia",62
14026238100,"Ouahmane, L",23
55407042100,"Debdoubi, Abderrahmane",6
22976901800,"Roy, D",77
6701441776,"Kessabi, M",125
23096545900,"Youssfi, Ahmed",153
6601960348,"Ourévitch, Mich",62
16418268800,"Bekkali, Mohamed",153
24482941100,"Alaoui, Hamad",37
6506617943,"Bakass, M",23
6701371211,"Tracqui, Christine",18
16229507700,"Aboulkas, A",18
7801316428,"Bouadili, A",23
55914214400,"Durieux, A",77
57196699806,"Allard, C",137
6603173981,"Guijosa, Antonio",6
16643612300,"Sayah, Fouad",9
7005503872,"Sahraoui, Bouchta",72
14520881700,"Errabii, Tomader",6
9249974500,"Gandonou, Christophe",9
22996312300,"Zazoui, M",62
8364325600,"Zouine, Jamila",23
6602599339,"Bour, M",84
7801337950,"Toumanari, A",91
15925331500,"Machnikova, E",111
56636708100,"Mchich, Rachid",15
57571769100,"Benyakhlef, M",153
9639852300,"Ettazarini, Said",125
14629501100,"Raissouni, I",6
6507626381,"Boutakiout, Mohamed",125
6602544264,"Asbik, M",142
23110633500,"Lahrech, S",111
13410036000,"Ouahab, A",114
6602324132,"Belmahi, M",111
6602320899,"Aqzzouz, Belmesnaoui",72
15835001700,"Lemghich, I",6
57204648809,"Talbi, Mohamed",111
6508237679,"Guerrab, Zineb",120
16507542200,"Reda, Oussama",125
23061269100,"Meskine, D",125
56631228400,"Boussejra, Abdelhamid",77
9938896400,"Valdivia, Victoria",125
15053162000,"Amouch, Mohamed",23
55921239000,"Benhammou, Abdelaziz",23
7801537183,"Moubtassim, M",24
14423955300,"Barakat, Y",153
8636726000,"Boutahricht, M",153
7003626219,"Marzoli, A",18
22937787100,"Juan, C",126
15834566700,"Fousi, M",37
6504545158,"Guermoune, Abdeladim",23
57217258882,"Palma, Miguel",9
8415913300,"Essehli, Rachid",153
7201798940,"Martins, J",111
6603601214,"Agoumi, A",126
15835033500,"Loukili, Abdechahid",77
6507579810,"Bentama, Jilali",160
35110490200,"Pilet, Fabian",153
6507327401,"Alaoui, M",126
6506016434,"Brhadda, Najiba",77
6507585114,"Talibi, Mohamed",23
56585855300,"Azizi, Youssef",23
11439276200,"Ourhriss, Najia",23
36894050500,"Gualdrón, O",140
23091579900,"Lahbib, Y",134
55903034300,"Jalil, Nour",23
7007043646,"Bertrand, Hervé",18
6507469336,"Ouazzani, Kamar",148
35793361300,"Yildirim, Sema",153
22834235000,"Farouk, Loubna",23
6506946915,"Maghri, M",37
6508163444,"Houicha, Mohamed",34
49261041400,"Khoukhi, Yahya",111
58369675800,"Majdoubi, Hassan",84
12545429700,"Fatnassi, H",84
36495255000,"Mountassir, Z",72
56617799400,"Iqdour, R",23
7004574931,"Misdaq, M",23
6602545860,"Jellal, Mohamed",120
55508054300,"Kaoua, S",60
7004207102,"Brezmes, J",140
7006301711,"Forniés, Juan",77
7801628091,"Raki, S",23
58768471500,"Devif, Mich",125
15119046700,"Chbicheb, Saliha",127
11240805000,"Bougaze, B",37
56589956300,"Zerouali, E",125
7004866400,"Granet, Robert",72
23092984100,"Choukri, S",128
14059568000,"Chabbar, El",120
15730315200,"Bensaada, Mohamed",77
55875993900,"Kaaouachi, Abdelali",118
6503919103,"Tissent, A",63
8698033400,"Lemhadri, Mhamed",140
25825369700,"Aniba, F",47
14628762700,"Iken, H",125
56150938200,"Lukyanchuk, I",140
6507314816,"Achamlale, S",148
36740273800,"Moussa, A",111
7103064365,"Hecht, Frédéric",77
7004259182,"nez, T",125
24449028700,"Hattabi, Mohamed",65
6506393355,"Guenoun, Farhate",140
14036797900,"Boughrara, M",140
55901041900,"Hmamed, Abdelaziz",153
15761036200,"Sbai, Amina",125
7003317935,"Benjouad, Abdelaziz",125
15076736200,"Hmaimou, A",6
55960323800,"Jarroudi, Mustapha",9
7003499170,"Perrone, Vincenzo",9
57193173227,"Rouan, Omar",30
57190938990,"Taki, Zouhair",77
57215628862,"Bouabdellah, I",77
7004604370,"Hammouti, B",111
35772210800,"Charifi, Ahmed",77
15076615200,"Harnafi, Hicham",111
57193762641,"Bouanani, Nour",111
8705419700,"Aziz, Mohammed",111
6701401543,"Derbel, N",23
6505911743,"Mezrhab, Ahmed",111
6602568742,"Riaño, M",6
6602458809,"Zeggwagh, A",126
22134024800,"Dirhoussi, Hind",140
15136408400,"Mabrour, Mahmoud",125
55498422800,"Ziane, M",111
57811799300,"Aarab, Abdellatif",132
6506445246,"Fekkak, Abdelilah",37
6508370968,"Benharref, Mohammed",23
15074207000,"Rieu, Dominique",129
57195089654,"Hanbali, E",62
6506225892,"Yousfi, Driss",27
15923769700,"Salam, A",125
24723922200,"Beid, Said",18
24724274700,"Doubabi, Said",65
23487708400,"Aouaj, M",125
6506539072,"Ouzahra, Mohamed",140
22835883900,"Majourhat, K",23
24830746000,"Saad, Abdallah",65
24337212500,"Charef, Mohammed",89
7801392900,"Benfrika, El",53
24821660900,"Jaadoud, Abdelkader",60
8709621700,"Hilout, S",23
24821294900,"Abbou, Ahmed",128
35616135900,"Mahmoudi, Hassan",23
6505859848,"Bouayadi, Rachid",111
23979771700,"Hseini, Sou",125
23972458600,"Cherradi, B",53
6507693174,"Laadila, M",125
23972631700,"Bouziane, A",134
56096278900,"Firdoussi, Larbi",23
58786178200,"Loukili, Mohamed",120
24725241900,"Mouria, Btissam",77
55888633200,"Elazouzi, R",125
23490359500,"Sofyani, H",60
55938472200,"Hanafi, A",91
23566319600,"Drissi, M",108
24381871300,"Gaini, L",37
24381831500,"Lakraimi, M",30
24724576600,"Jakimi, A",129
6602789810,"Idri, Ali",129
57211953569,"Kherici, N",84
16836184500,"Fellahi, N",72
55295800200,"Othmani, M",53
6506344230,"Ettaki, M",166
6503957719,"Ibouh, H",23
9043261200,"Lebrini, Mounim",37
24764612400,"Aoufi, Tarik",125
6506907165,"Bakrim, M",23
6507578688,"Hadria, R",23
6506630373,"Etahiri, Samira",37
56095942000,"Kouri, Abdel",37
57198105424,"Amir, Moilim",125
6602804227,"Beauhaire, Josiane",132
6506893853,"Abouir, J",62
14060463100,"Licer, Oumnia",153
14059940400,"Alami, Noureddine",128
36148171000,"Nabila, Rabbah",37
6701924280,"Safi, N",132
23490309300,"Tilaoui, Mounir",23
56074327000,"Saadane, Rachid",125
23976480100,"Meddah, Nabila",77
24467262100,"Abirou, S",72
13405684900,"Assyry, A",72
23393194700,"Ouiazzane, S",128
23485272600,"Hassi, Mohammed",153
24821061000,"Essannouni, L",125
57222267957,"Jarir, Zahi",25
16244837300,"Daher, Radouan",53
8715339700,"Davies, Eirlys",17
57203531598,"Duchemin, B",23
57203048982,"Léger, J",77
6506578255,"Massip, S",77
7003787619,"Couzi, M",23
23090160700,"Dhidah, K",63
23011421900,"Hajoui, M",125
23474714100,"Oulkheir, S",77
23398555800,"Regragui, Salwa",127
55393175800,"Aalloula, El",127
23396035400,"Bouknouz, Abdel",125
23106066500,"Hakim, A",18
57194892109,"Hansali, Mohammed",167
6602877914,"Elaatmani, Mohamed",23
57194892838,"Allagui, Nisrine",91
7005105339,"Jalbout, Abraham",111
55663191700,"Hachimi, Abderrahmane",37
6603847204,"Eddahbi, M",23
23094092200,"Kammouri, S",160
6505760946,"Charroud, Mohammed",153
57194896634,"Mehrach, Khadija",91
23094740700,"Lamharrar, A",30
8635334400,"Idlimam, A",23
58439205300,"Ziani, El",111
6602160201,"Bennouna, Mustapha",1
23097223600,"Elmansouri, A",18
7004440679,"Outzourhit, A",18
7003452231,"Lachkar, A",18
23473726400,"Lamsaouri, Jamal",126
16416817700,"Boughrous, A",18
7004486662,"Guendouzi, Mohamed",53
57193013503,"Moreau, Eric",134
15051518200,"Mejdoubi, Yasser",126
6506285958,"Zejli, H",1
6603272388,"Rodriguez, I",1
23476761000,"Bouaissa, H",128
8856698700,"Messnaoui, B",128
36090017000,"Favre, E",53
6602217132,"Farjanel, G",23
8711414700,"Bouabid, K",91
8711858700,"Tber, Moulay",23
6507920197,"Mortaji, A",91
16686764500,"Mouse, H",23
23094543400,"fari, A",23
15923125900,"Mimouni, Z",23
23481732800,"Asslouj, Jaouad",47
57216878662,"Kholtei, Sanae",47
6508372330,"Paaza, Namira",47
6603057598,"Rouane, Amar",34
7003829589,"Benomar, A",126
55282902900,"Motassadeq, Ahmed",23
23032977800,"Boussaa, S",23
15123985000,"Alaoui, M",128
6603532982,"Souissi, A",125
15061120700,"Harfi, A",91
7402867313,"Lang, J",23
13608574800,"Fadaili, El",125
6507863694,"Mouhsine, Bouchra",125
6603869453,"Hafidi, K",23
57809747000,"Miloua, F",125
35214801500,"Ghomsi, Nathan",125
6603650702,"Ahabchane, Nour",132
7005744476,"Essassi, El",132
15750625800,"Mouzdahir, Y",62
22133481000,"Chafik, Abderrahim",125
20733327700,"Dakka, Nadia",125
6603276872,"Dorado, F",62
7006344342,"Raji, A",23
26647270200,"Amine, M",26
6603926037,"Bouabdelli, Mohamed",18
14037414900,"Hakmaoui, Abdelmalek",1
20435752100,"Amharref, Mina",9
7005580477,"Bitton, Gabriel",23
25822038300,"Attrassi, Khaled",72
6602592656,"Benkirane, Rachid",72
21833593600,"Ameziane, N",91
22950262100,"Bentahar, Zakaria",64
22951374600,"Massoud, Naji",71
6602897142,"Tissir, El",153
22940517400,"Kaichouh, Ghizlan",125
24400731200,"Hourch, Abderrahim",62
57192440848,"Madani, M",140
7005205355,"Dommergues, Jean",23
24325744800,"Lemmini, Fatiha",125
6602502724,"Charrouf, Zoubida",125
6701440264,"Obbade, Sa",125
57197691680,"Berrada, K",23
21234157800,"Kaddouri, A",23
7004195933,"Louarn, G",23
22954508200,"Tkiouat, Mohamed",128
7004155273,"Tribovillard, N",23
6602208764,"Albani, A",77
22136107800,"Rhajaoui, M",125
6506579242,"Lazreq, N",23
