id,Affiliation,Abbreviation,University,City,Affiliation En Name
72,Université Ibn Tofail,UIT,Université Ibn Tofail,Kénitra,Ibn Tofail University
73,Faculté des Sciences Juridiques et Politiques ,FSJP ,Université Ibn Tofail,Kénitra,Faculty of Juridical and Political Sciences
74,Faculté d'Economie et de Gestion ,FEG ,Université Ibn Tofail,Kénitra,Faculty of Economics and Management
75,"Facultés des Langues, des Lettres et des Arts ",FLLA ,Université Ibn Tofail,Kénitra,"Faculty of Languages, Letters and Arts"
76,Faculté des Sciences Humaines et Sociale ,FSHS ,Université Ibn Tofail,Kénitra,Faculty of Human and Social Sciences
77,Faculté des Sciences ,FS ,Université Ibn Tofail,Kénitra,Faculty of Sciences
78,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Ibn Tofail,Kénitra,National School of Applied Sciences
79,Ecole Nationale Supérieure de Chimie ,ENSC ,Université Ibn Tofail,Kénitra,Ecole Nationale Supérieure de Chimie
80,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Ibn Tofail,Kénitra,National School of Commerce and Management
81,Ecole Supérieure de l'Education et de la Formation ,ESEF ,Université Ibn Tofail,Kénitra,Higher School of Education and Training
82,Ecole Supérieure de Technologie ,EST ,Université Ibn Tofail,Kénitra,Higher School of Technology
83,Institut des Métiers du Sport ,IMS ,Université Ibn Tofail,Kénitra,Institute of Sports Professions
84,Université Ibn Zohr,UIZ,Université Ibn Zohr,Agadir,Ibn Zohr University
85,Faculté Chariâa ,Faculté Chariâa ,Université Ibn Zohr,Agadir,Faculty of Islamic Law (Sharia)
86,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Ibn Zohr,Agadir,"Faculty of Legal, Economic and Social Sciences"
87,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Ibn Zohr,Ait Melloul,"Faculty of Legal, Economic and Social Sciences"
88,Faculté d'Economie et de Gestion ,FEG ,Université Ibn Zohr,Guelmim,Faculty of Economics and Management
89,Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Ibn Zohr,Agadir,Faculty of Letters and Humanities
90,"Faculté des Langues, Arts et Science humaines ",FLASH ,Université Ibn Zohr,Ait Melloul,"Faculty of Languages, Arts and Human Sciences"
91,Faculté des Sciences ,FS ,Université Ibn Zohr,Agadir,Faculty of Sciences
92,Faculté des Sciences Appliquées ,FSA ,Université Ibn Zohr,Ait Melloul,Faculty of Applied Sciences
93,Faculté Polydisciplinaire ,FP ,Université Ibn Zohr,Ouarzazate,Multidisciplinary Faculty
94,Faculté Polydisciplinaire ,FP ,Université Ibn Zohr,Taroudant,Multidisciplinary Faculty
95,Faculté Polydisciplinaire ,FP ,Université Ibn Zohr,Es-Semara,Multidisciplinary Faculty
96,Faculté de Médecine et de Pharmacie ,FMP ,Université Ibn Zohr,Agadir,Faculty of Medicine and Pharmacy
97,Faculté de Médecine et de Pharmacie ,FMP ,Université Ibn Zohr,Laayoune,Faculty of Medicine and Pharmacy
98,Faculté de Médecine et de Pharmacie ,FMP ,Université Ibn Zohr,Guelmim,Faculty of Medicine and Pharmacy
99,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Ibn Zohr,Agadir,National School of Applied Sciences
100,Ecole Nationale Supérieure de l'Intelligence Artificielle et Sciences des Données ,ENSIASD ,Université Ibn Zohr,Taroudant,National Higher School of Artificial Intelligence and Data Sciences
101,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Ibn Zohr,Agadir,National School of Commerce and Management
102,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Ibn Zohr,Dakhla,National School of Commerce and Management
103,Ecole Supérieure de l'Education et de la Formation ,ESEF ,Université Ibn Zohr,Agadir,Higher School of Education and Training
104,Ecole Supérieure de Technologie ,EST ,Université Ibn Zohr,Agadir,Higher School of Technology
